type,time,latitude,longitude,altitude (ft),speed (mph),course,distance (mi),distance_interval (ft),name,desc
T,,34.078486000,-83.984605000,1160.6,,145.8,33.125,214.97,,
T,,34.078186000,-83.984408000,1170.5,,151.5,33.149,124.41,,
T,,34.077803000,-83.984222000,1176.4,,158.1,33.177,150.33,,
T,,34.077416000,-83.984075000,1179.9,,162.5,33.205,147.71,,
T,,34.077071000,-83.983999000,1180.1,,169.7,33.229,127.65,,
T,,34.076649000,-83.983987000,1180.1,,178.7,33.258,153.62,,
T,,34.074874000,-83.984136000,1163.7,,184.0,33.381,647.54,,
T,,34.073007000,-83.984267000,1134.3,,183.3,33.510,680.60,,
T,,34.071876000,-83.984378000,1104.3,,184.6,33.588,412.97,,
T,,34.070934000,-83.984597000,1120.3,,190.9,33.654,349.17,,
T,,34.070196000,-83.984886000,1120.2,,198.0,33.708,282.48,,
T,,34.069380000,-83.985312000,1124.7,,203.4,33.769,323.78,,
T,,34.068483000,-83.986026000,1110.2,,213.4,33.843,391.56,,
T,,34.067766000,-83.986688000,1119.1,,217.4,33.906,329.06,,
T,,34.065353000,-83.989177000,1099.8,,220.5,34.125,1157.32,,
T,,34.064723000,-83.989686000,1079.6,,213.8,34.177,276.28,,
T,,34.063973000,-83.990157000,1078.6,,207.5,34.235,307.97,,
T,,34.063345000,-83.990456000,1067.6,,201.5,34.282,245.83,,
T,,34.061853000,-83.991126000,1058.5,,200.4,34.392,579.65,,
T,,34.059368000,-83.992213000,1044.6,,199.9,34.574,962.41,,
T,,34.058399000,-83.992673000,1021.3,,201.5,34.646,379.17,,
T,,34.057652000,-83.993008000,1021.7,,200.4,34.701,290.17,,
T,,34.055810000,-83.993784000,1038.6,,199.2,34.835,710.36,,
T,,34.054384000,-83.994426000,1063.3,,200.5,34.940,554.19,,
T,,34.054147000,-83.994511000,1065.8,,196.5,34.957,90.01,,
T,,34.053691000,-83.994585000,1071.0,,187.7,34.989,167.46,,
T,,34.053243000,-83.994572000,1070.6,,178.6,35.020,163.08,,
T,,34.052658000,-83.994453000,1059.8,,170.4,35.061,215.92,,
T,,34.051640000,-83.994209000,1050.5,,168.8,35.132,377.77,,
T,,34.046246000,-83.992788000,1077.9,,167.7,35.513,2009.64,,
T,,34.045387000,-83.992599000,1080.5,,169.7,35.573,317.81,,
T,,34.043130000,-83.992007000,1052.1,,167.7,35.732,840.72,,
T,,34.042565000,-83.991803000,1055.5,,163.3,35.773,214.70,,
T,,34.041999000,-83.991496000,1066.3,,155.8,35.816,226.00,,
T,,34.041453000,-83.991125000,1076.4,,150.6,35.859,228.29,,
T,,34.040571000,-83.990449000,1091.8,,147.6,35.931,380.75,,
T,,34.038954000,-83.989255000,1124.9,,148.5,36.062,690.75,,
T,,34.038455000,-83.988958000,1134.6,,153.7,36.100,202.67,,
T,,34.037412000,-83.988588000,1140.5,,163.6,36.175,395.78,,
T,,34.036048000,-83.988167000,1145.0,,165.7,36.272,512.51,,
T,,34.035501000,-83.987975000,1139.1,,163.8,36.312,207.39,,
T,,34.033598000,-83.987368000,1098.4,,165.2,36.447,716.54,,
T,,34.032499000,-83.987033000,1092.7,,165.8,36.526,412.63,,
T,,34.031719000,-83.986817000,1099.4,,167.1,36.581,291.30,,
T,,34.030609000,-83.986585000,1128.5,,170.2,36.658,410.02,,
T,,34.029935000,-83.986509000,1121.8,,174.7,36.705,246.36,,
T,,34.029512000,-83.986483000,1108.8,,177.1,36.734,154.14,,
T,,34.028178000,-83.986477000,1078.8,,179.8,36.826,485.47,,
T,,34.026041000,-83.986451000,1073.1,,179.4,36.973,777.74,,
T,,34.023791000,-83.986452000,1098.9,,180.0,37.129,818.82,,
T,,34.020268000,-83.986425000,1140.2,,179.6,37.371,1282.12,,
T,,34.019662000,-83.986431000,1139.4,,180.5,37.413,220.54,,
T,,34.019214000,-83.986460000,1137.2,,183.1,37.444,163.27,,
T,,34.018613000,-83.986530000,1141.2,,185.5,37.486,219.74,,
T,,34.018073000,-83.986649000,1142.1,,190.4,37.524,199.80,,
T,,34.017363000,-83.986892000,1130.9,,195.8,37.574,268.67,,
T,,34.017141000,-83.986989000,1126.6,,199.9,37.591,85.97,,
T,,34.013828000,-83.988635000,1113.7,,202.4,37.838,1304.78,,
T,,34.012963000,-83.989083000,1108.1,,203.2,37.903,342.82,,
T,,34.012591000,-83.989258000,1105.0,,201.3,37.930,145.40,,
T,,34.012027000,-83.989458000,1100.5,,196.4,37.971,214.01,,
T,,34.011775000,-83.989501000,1098.9,,188.1,37.988,92.63,,
T,,34.011540000,-83.989516000,1098.1,,183.0,38.005,85.64,,
T,,34.011056000,-83.989499000,1089.7,,178.3,38.038,176.21,,
T,,34.010661000,-83.989447000,1084.9,,173.8,38.065,144.61,,
T,,34.010117000,-83.989287000,1081.7,,166.3,38.104,203.82,,
T,,34.009850000,-83.989159000,1079.5,,158.3,38.124,104.62,,
T,,34.009377000,-83.988965000,1062.8,,161.2,38.158,181.90,,
T,,34.008559000,-83.988562000,1059.2,,157.8,38.219,321.77,,
T,,34.008147000,-83.988384000,1060.7,,160.3,38.249,159.34,,
T,,34.007689000,-83.988214000,1058.2,,162.9,38.282,174.46,,
T,,34.007475000,-83.988159000,1055.5,,168.0,38.297,79.64,,
T,,34.007286000,-83.988149000,1053.2,,177.5,38.310,68.85,,
T,,34.006395000,-83.988024000,1044.7,,173.4,38.372,326.46,,
T,,34.006051000,-83.988051000,1042.7,,183.7,38.396,125.46,,
T,,34.005413000,-83.988163000,1036.1,,188.3,38.441,234.65,,
T,,34.002138000,-83.989189000,980.3,,194.6,38.674,1231.73,,
T,,34.000438000,-83.989737000,991.3,,195.0,38.795,640.57,,
T,,33.999143000,-83.990123000,1015.0,,193.9,38.887,485.58,,
T,,33.998233000,-83.990327000,1046.4,,190.5,38.951,336.89,,
T,,33.997704000,-83.990326000,1063.9,,179.9,38.987,192.51,,
T,,33.997222000,-83.990251000,1073.6,,172.6,39.021,176.88,,
T,,33.996840000,-83.990163000,1078.5,,169.2,39.048,141.55,,
T,,33.996132000,-83.989882000,1070.0,,161.8,39.099,271.37,,
T,,33.995948000,-83.989774000,1067.0,,154.1,39.113,74.53,,
T,,33.995678000,-83.989568000,1067.0,,147.7,39.135,116.42,,
T,,33.995165000,-83.989092000,1077.9,,142.4,39.180,235.95,,
T,,33.994290000,-83.988111000,1082.6,,137.1,39.262,435.68,,
T,,33.993866000,-83.987581000,1081.9,,134.0,39.305,222.75,,
T,,33.993214000,-83.986852000,1079.3,,137.2,39.366,324.24,,
T,,33.992865000,-83.986532000,1080.7,,142.8,39.396,159.81,,
T,,33.992477000,-83.986238000,1087.7,,147.9,39.428,166.97,,
T,,33.992175000,-83.986060000,1095.6,,154.0,39.451,122.43,,
T,,33.992064000,-83.985925000,1097.8,,134.8,39.462,57.50,,
T,,33.991441000,-83.985577000,1108.2,,155.1,39.509,250.06,,
T,,33.990110000,-83.984684000,1103.5,,150.9,39.614,554.88,,
T,,33.989768000,-83.984483000,1103.3,,154.0,39.641,138.57,,
T,,33.989550000,-83.984390000,1103.3,,160.5,39.657,84.19,,
T,,33.989194000,-83.984299000,1102.9,,168.0,39.682,132.46,,
T,,33.988696000,-83.984265000,1102.4,,176.8,39.716,181.52,,
T,,33.987973000,-83.984337000,1094.7,,184.7,39.766,264.02,,
T,,33.985337000,-83.984664000,1103.4,,185.9,39.949,964.40,,
T,,33.981785000,-83.985117000,1105.9,,186.0,40.195,1299.91,,
T,,33.981620000,-83.985217000,1105.8,,206.7,40.208,67.27,,
T,,33.981101000,-83.985309000,1103.8,,188.4,40.244,190.92,,
T,,33.980029000,-83.985457000,1098.8,,186.5,40.318,392.69,,
T,,33.977632000,-83.985747000,1105.9,,185.7,40.484,876.73,,
T,,33.976984000,-83.985905000,1102.4,,191.4,40.530,240.63,,
T,,33.976733000,-83.985907000,1100.7,,180.4,40.547,91.35,,
T,,33.975340000,-83.986558000,1101.6,,201.2,40.650,544.00,,
T,,33.974717000,-83.986785000,1100.0,,196.8,40.695,236.94,,
T,,33.974582000,-83.986806000,1098.7,,187.4,40.704,49.54,,
T,,33.974450000,-83.986804000,1097.8,,179.3,40.714,48.04,,
T,,33.972510000,-83.986449000,1087.3,,171.4,40.849,714.16,,
T,,33.969373000,-83.985827000,1064.1,,170.7,41.068,1157.08,,
T,,33.969130000,-83.985800000,1065.2,,174.7,41.085,88.81,,
T,,33.968637000,-83.985784000,1067.6,,178.5,41.119,179.48,,
T,,33.968061000,-83.985838000,1069.2,,184.4,41.159,210.25,,
T,,33.967036000,-83.985975000,1075.3,,186.3,41.230,375.32,,
T,,33.966217000,-83.986027000,1077.8,,183.0,41.286,298.46,,
T,,33.965748000,-83.985996000,1076.0,,176.9,41.319,170.94,,
T,,33.964466000,-83.985867000,1070.2,,175.2,41.407,468.18,,
T,,33.963236000,-83.985715000,1067.2,,174.1,41.492,449.98,,
T,,33.962682000,-83.985669000,1063.0,,176.1,41.531,202.09,,
T,,33.961467000,-83.985643000,1055.7,,179.0,41.614,442.23,,
T,,33.959959000,-83.985638000,1068.3,,179.8,41.718,548.79,,
T,,33.958282000,-83.985687000,1046.4,,181.4,41.834,610.47,,
T,,33.957947000,-83.985771000,1044.8,,191.7,41.858,124.54,,
T,2022-08-26 13:21:45,33.957811000,-83.985773000,1043.6,0.0,180.7,41.867,49.50,,
T,,33.957740000,-83.985840000,1044.2,,218.1,41.873,32.87,,
T,,33.957602000,-83.985929000,1045.4,,208.1,41.884,57.01,,
T,,33.957459000,-83.986186000,1053.4,,236.1,41.902,93.71,,
T,2022-08-26 13:22:25,33.957252000,-83.989665000,1093.0,0.0,265.9,42.102,1057.70,,
T,2022-08-26 13:22:39,33.956265000,-83.989548000,1081.2,17.6,174.4,42.170,360.93,,
T,2022-08-26 13:22:57,33.956376000,-83.988021000,1069.2,17.6,85.0,42.258,464.83,,

type,time,latitude,longitude,altitude (ft),speed (mph),course,distance (mi),distance_interval (ft),name,desc
T,,34.421130000,-84.119103000,1367.3,,,0.000,,GraphHopper,
T,,34.421257000,-84.116700000,1381.9,,86.3,0.138,726.21,,
T,,34.363792000,-84.037082000,1196.5,,131.2,6.170,31849.37,,
T,,34.363006000,-84.037554000,1196.3,,206.4,6.230,319.56,,
T,,34.188125000,-84.136116000,1239.3,,205.0,19.538,70266.72,,
T,,34.185096000,-84.139353000,1267.2,,221.5,19.817,1474.30,,
T,,33.957811000,-83.985773000,1043.6,,150.7,37.790,94894.20,,
T,,33.957252000,-83.989665000,1093.0,,260.2,38.017,1197.65,,
T,,33.956265000,-83.989548000,1081.2,,174.4,38.085,360.93,,
T,,33.956376000,-83.988021000,1069.2,,85.0,38.173,464.83,,
