latitude,longitude
34.271355000,-84.079385000
34.270722000,-84.079952000
34.262389000,-84.088083000
34.261579000,-84.088786000
34.260674000,-84.089472000
34.259934000,-84.089954000
34.259306000,-84.090321000
34.258528000,-84.090722000
34.257497000,-84.091159000
34.246833000,-84.095233000
34.240774000,-84.097547000
34.238251000,-84.098510000
34.235784000,-84.099454000
34.233818000,-84.100202000
34.230248000,-84.101575000
34.229426000,-84.101958000
34.228754000,-84.102315000
34.228091000,-84.102715000
34.227530000,-84.103090000
34.224722000,-84.105134000
34.224031000,-84.105662000
34.223626000,-84.106006000
34.223268000,-84.106341000
34.222854000,-84.106777000
34.222562000,-84.107114000
34.221991000,-84.107851000
34.220875000,-84.109451000
34.217196000,-84.114721000
34.213644000,-84.119812000
34.213169000,-84.120410000
34.212931000,-84.120675000
34.212346000,-84.121262000
34.211753000,-84.121763000
34.211117000,-84.122212000
34.210657000,-84.122488000
34.210301000,-84.122677000
34.209584000,-84.122992000
34.208992000,-84.123197000
34.203082000,-84.124759000
34.202321000,-84.125013000
34.201741000,-84.125259000
34.201245000,-84.125506000
34.200557000,-84.125912000
34.200044000,-84.126270000
34.199559000,-84.126653000
34.198234000,-84.127828000
34.196762000,-84.129143000
34.192725000,-84.132745000
34.192062000,-84.133308000
34.191366000,-84.133869000
34.190215000,-84.134732000
34.189338000,-84.135330000
34.187114000,-84.136941000
34.186741000,-84.137223000
34.186560000,-84.137391000
34.186206000,-84.137786000
34.184901000,-84.139582000
34.184833000,-84.139633000
34.184722000,-84.139667000
34.184651000,-84.139663000
34.184417000,-84.139577000
34.183445000,-84.138377000
34.181906000,-84.136423000
34.181309000,-84.135641000
34.179984000,-84.133845000
34.179474000,-84.133209000
34.178543000,-84.132092000
34.177384000,-84.130779000
34.177231000,-84.130609000
34.177050000,-84.130449000
34.175867000,-84.129167000
34.174596000,-84.128005000
34.173801000,-84.127357000
34.172952000,-84.126578000
34.171908000,-84.125664000
34.169400000,-84.123680000
34.168790000,-84.123233000
34.168423000,-84.122933000
34.167918000,-84.122572000
34.167011000,-84.121837000
34.165686000,-84.120829000
34.165317000,-84.120536000
34.165119000,-84.120342000
34.164708000,-84.119890000
34.164362000,-84.119453000
34.163846000,-84.118730000
34.163623000,-84.118386000
34.163044000,-84.117671000
34.162648000,-84.117021000
34.161968000,-84.115990000
34.161496000,-84.115121000
34.160985000,-84.114215000
34.160615000,-84.113636000
34.160111000,-84.112788000
34.159493000,-84.111928000
34.158999000,-84.111200000
34.158055000,-84.110073000
34.157222000,-84.109146000
34.155998000,-84.107963000
34.155300000,-84.107368000
34.154617000,-84.106842000
34.153694000,-84.106292000
34.152896000,-84.105865000
34.152046000,-84.105506000
34.151443000,-84.105278000
34.151050000,-84.105155000
34.150375000,-84.104995000
34.149723000,-84.104866000
34.148845000,-84.104743000
34.148021000,-84.104690000
34.147300000,-84.104705000
34.145069000,-84.104919000
34.144170000,-84.104980000
34.143160000,-84.105086000
34.142486000,-84.105099000
34.142040000,-84.105056000
34.141593000,-84.104980000
34.140892000,-84.104782000
34.140548000,-84.104644000
34.140132000,-84.104446000
34.139808000,-84.104255000
34.139415000,-84.103988000
34.139032000,-84.103694000
34.138737000,-84.103441000
34.138259000,-84.102925000
34.138019000,-84.102614000
34.137880000,-84.102494000
34.137226000,-84.101576000
34.136985000,-84.101215000
34.136478000,-84.100700000
34.135955000,-84.100280000
34.135795000,-84.100173000
34.135475000,-84.099983000
34.134971000,-84.099746000
34.132343000,-84.098907000
34.131214000,-84.098472000
34.129802000,-84.097715000
34.129510000,-84.097501000
34.129039000,-84.097105000
34.128176000,-84.096187000
34.126462000,-84.093969000
34.125385000,-84.092518000
34.125082000,-84.092068000
34.124985000,-84.091891000
34.124782000,-84.091435000
34.124652000,-84.090932000
34.124404000,-84.088968000
34.124313000,-84.087910000
34.124183000,-84.086630000
34.123904000,-84.084742000
34.123784000,-84.083667000
34.123663000,-84.083037000
34.123486000,-84.082442000
34.123335000,-84.082030000
34.123069000,-84.081508000
34.122702000,-84.080956000
34.122423000,-84.080592000
34.121019000,-84.079179000
34.120076000,-84.078280000
34.119692000,-84.077891000
34.119368000,-84.077631000
34.118861000,-84.077272000
34.118439000,-84.076949000
34.117607000,-84.076398000
34.116733000,-84.075779000
34.116067000,-84.075384000
34.115468000,-84.074987000
34.114953000,-84.074580000
34.113896000,-84.073677000
34.113203000,-84.072951000
34.112930000,-84.072608000
34.112758000,-84.072315000
34.112506000,-84.071817000
34.112351000,-84.071384000
34.112167000,-84.070734000
34.112108000,-84.070427000
34.112052000,-84.069958000
34.112032000,-84.069594000
34.112038000,-84.068303000
34.112068000,-84.067642000
34.112079000,-84.066691000
34.112005000,-84.064873000
34.111842000,-84.059373000
34.111678000,-84.055163000
34.111581000,-84.054063000
34.111449000,-84.052115000
34.111340000,-84.047191000
34.111238000,-84.043863000
34.111196000,-84.041901000
34.111134000,-84.040229000
34.111065000,-84.039603000
34.110906000,-84.038785000
34.110786000,-84.038376000
34.110549000,-84.037712000
34.110408000,-84.037400000
34.110209000,-84.037061000
34.108771000,-84.034877000
34.108347000,-84.034170000
34.107690000,-84.033209000
34.106448000,-84.031320000
34.105797000,-84.030384000
34.105508000,-84.029911000
34.105364000,-84.029601000
34.105266000,-84.029297000
34.105181000,-84.028757000
34.105043000,-84.028069000
34.104625000,-84.026120000
34.104466000,-84.025664000
34.104259000,-84.025263000
34.103807000,-84.024571000
34.098557000,-84.016852000
34.095077000,-84.011757000
34.093358000,-84.009146000
34.093125000,-84.008702000
34.092914000,-84.008191000
34.092723000,-84.007633000
34.092558000,-84.006961000
34.092505000,-84.006641000
34.092435000,-84.005889000
34.092299000,-84.003259000
34.092242000,-84.002472000
34.092223000,-84.002356000
34.092106000,-84.001787000
34.092004000,-84.001453000
34.091744000,-84.000763000
34.091581000,-84.000454000
34.091323000,-84.000035000
34.089757000,-83.997644000
34.088937000,-83.996431000
34.087799000,-83.994832000
34.087472000,-83.994311000
34.087241000,-83.993993000
34.086656000,-83.993106000
34.086444000,-83.992823000
34.085474000,-83.991257000
34.084941000,-83.990288000
34.084679000,-83.989820000
34.084383000,-83.989365000
34.083947000,-83.988843000
34.083662000,-83.988591000
34.083267000,-83.988335000
34.082720000,-83.988064000
34.081604000,-83.987476000
34.081119000,-83.987158000
34.080487000,-83.986607000
34.078974000,-83.985005000
34.078486000,-83.984605000
34.078186000,-83.984408000
34.077803000,-83.984222000
34.077416000,-83.984075000
34.077071000,-83.983999000
34.076649000,-83.983987000
34.074874000,-83.984136000
34.073007000,-83.984267000
34.071876000,-83.984378000
34.070934000,-83.984597000
34.070196000,-83.984886000
34.069380000,-83.985312000
34.068483000,-83.986026000
34.067766000,-83.986688000
34.065353000,-83.989177000
34.064723000,-83.989686000
34.063973000,-83.990157000
34.063345000,-83.990456000
34.061853000,-83.991126000
34.059368000,-83.992213000
34.058399000,-83.992673000
34.057652000,-83.993008000
34.055810000,-83.993784000
34.054384000,-83.994426000
34.054147000,-83.994511000
34.053691000,-83.994585000
34.053243000,-83.994572000
34.052658000,-83.994453000
34.051640000,-83.994209000
34.046246000,-83.992788000
34.045387000,-83.992599000
34.043130000,-83.992007000
34.042565000,-83.991803000
34.041999000,-83.991496000
34.041453000,-83.991125000
34.040571000,-83.990449000
34.038954000,-83.989255000
34.038455000,-83.988958000
34.037412000,-83.988588000
34.036048000,-83.988167000
34.035501000,-83.987975000
34.033598000,-83.987368000
34.032499000,-83.987033000
34.031719000,-83.986817000
34.030609000,-83.986585000
34.029935000,-83.986509000
34.029512000,-83.986483000
34.028178000,-83.986477000
34.026041000,-83.986451000
34.023791000,-83.986452000
34.020268000,-83.986425000
34.019662000,-83.986431000
34.019214000,-83.986460000
34.018613000,-83.986530000
34.018073000,-83.986649000
34.017363000,-83.986892000
34.017141000,-83.986989000
34.013828000,-83.988635000
34.012963000,-83.989083000
34.012591000,-83.989258000
34.012027000,-83.989458000
34.011775000,-83.989501000
34.011540000,-83.989516000
34.011056000,-83.989499000
34.010661000,-83.989447000
34.010117000,-83.989287000
34.009850000,-83.989159000
34.009377000,-83.988965000
34.008559000,-83.988562000
34.008147000,-83.988384000
34.007689000,-83.988214000
34.007475000,-83.988159000
34.007286000,-83.988149000
34.006395000,-83.988024000
34.006051000,-83.988051000
34.005413000,-83.988163000
34.002138000,-83.989189000
34.000438000,-83.989737000
33.999143000,-83.990123000
33.998233000,-83.990327000
33.997704000,-83.990326000
33.997222000,-83.990251000
33.996840000,-83.990163000
33.996132000,-83.989882000
33.995948000,-83.989774000
33.995678000,-83.989568000
33.995165000,-83.989092000
33.994290000,-83.988111000
33.993866000,-83.987581000
33.993214000,-83.986852000
33.992865000,-83.986532000
33.992477000,-83.986238000
33.992175000,-83.986060000
33.992064000,-83.985925000
33.991441000,-83.985577000
33.990110000,-83.984684000
33.989768000,-83.984483000
33.989550000,-83.984390000
33.989194000,-83.984299000
33.988696000,-83.984265000
33.987973000,-83.984337000
33.985337000,-83.984664000
33.981785000,-83.985117000
33.981620000,-83.985217000
33.981101000,-83.985309000
33.980029000,-83.985457000
33.977632000,-83.985747000
33.976984000,-83.985905000
33.976733000,-83.985907000
33.975340000,-83.986558000
33.974717000,-83.986785000
33.974582000,-83.986806000
33.974450000,-83.986804000
33.972510000,-83.986449000
33.969373000,-83.985827000
33.969130000,-83.985800000
33.968637000,-83.985784000
33.968061000,-83.985838000
33.967036000,-83.985975000
33.966217000,-83.986027000
33.965748000,-83.985996000
33.964466000,-83.985867000
33.963236000,-83.985715000
33.962682000,-83.985669000
33.961467000,-83.985643000
33.959959000,-83.985638000
33.958282000,-83.985687000
33.957947000,-83.985771000
33.957740000,-83.985840000
33.957602000,-83.985929000
33.957459000,-83.986186000
